                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.0609,                 0.8488,                 1.1445,                0.80606,                0.65721,                 0.7562,                0.52921,                0.97826,                0.72048,                 1.0694,               0.005974,               0.005974,               0.005974
                    125,                 1.0611,                0.84989,                 1.1444,                0.80263,                0.66052,                0.75641,                0.52914,                 0.9781,                 0.7205,                 1.0691,               0.005941,               0.005941,               0.005941
                    126,                 1.0601,                0.85043,                 1.1438,                0.80012,                0.66171,                0.75623,                0.52932,                0.97831,                0.72097,                  1.069,               0.005908,               0.005908,               0.005908
                    127,                 1.0614,                0.85047,                 1.1435,                0.80515,                0.65858,                0.75659,                0.52981,                0.97766,                0.72072,                 1.0686,               0.005875,               0.005875,               0.005875
                    128,                 1.0579,                 0.8454,                 1.1421,                0.80865,                0.65804,                0.75667,                0.52937,                0.97735,                0.71992,                 1.0682,               0.005842,               0.005842,               0.005842
                    129,                 1.0554,                0.84709,                 1.1407,                0.80333,                 0.6598,                 0.7575,                0.52961,                0.97722,                0.71959,                  1.068,               0.005809,               0.005809,               0.005809
                    130,                 1.0574,                 0.8451,                 1.1426,                0.80518,                0.66027,                0.75751,                0.52993,                0.97713,                0.71897,                 1.0677,               0.005776,               0.005776,               0.005776
                    131,                  1.055,                0.84437,                 1.1413,                0.80296,                0.66337,                0.75722,                0.52996,                0.97679,                0.71905,                 1.0675,               0.005743,               0.005743,               0.005743
                    132,                 1.0572,                0.84579,                  1.142,                0.80443,                0.66079,                0.75723,                0.52975,                0.97714,                0.71793,                 1.0678,                0.00571,                0.00571,                0.00571
                    133,                 1.0547,                 0.8462,                 1.1404,                0.80138,                0.66194,                0.75694,                0.52974,                0.97689,                0.71792,                 1.0677,               0.005677,               0.005677,               0.005677
                    134,                 1.0536,                0.84017,                 1.1393,                 0.7992,                0.66079,                0.75725,                0.53032,                0.97654,                0.71814,                 1.0675,               0.005644,               0.005644,               0.005644
                    135,                 1.0534,                0.84291,                 1.1409,                0.80205,                0.65876,                 0.7568,                0.53066,                0.97646,                0.71816,                 1.0672,               0.005611,               0.005611,               0.005611
                    136,                 1.0545,                0.84354,                 1.1413,                0.80316,                0.66029,                0.75786,                0.53074,                0.97555,                0.71769,                 1.0662,               0.005578,               0.005578,               0.005578
                    137,                 1.0536,                0.84365,                 1.1405,                0.79755,                0.66293,                0.75804,                0.53065,                0.97564,                0.71819,                 1.0666,               0.005545,               0.005545,               0.005545
                    138,                 1.0521,                 0.8405,                 1.1394,                0.79922,                0.66324,                0.75788,                0.53034,                0.97605,                0.71828,                 1.0668,               0.005512,               0.005512,               0.005512
                    139,                 1.0521,                0.83786,                 1.1382,                0.80228,                0.65978,                0.75718,                 0.5305,                0.97591,                0.71826,                 1.0667,               0.005479,               0.005479,               0.005479
                    140,                 1.0502,                0.83956,                 1.1379,                0.79896,                0.66281,                0.75755,                0.53048,                0.97531,                0.71756,                 1.0662,               0.005446,               0.005446,               0.005446
