                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.73488,                0.36213,                0.94925,                0.97316,                0.95162,                0.97066,                0.76321,                 1.2802,                0.47546,                 1.5226,              0.0011334,              0.0011334,              0.0011334
                    100,                 0.7296,                0.35848,                0.94635,                0.90212,                0.92659,                0.95204,                0.74873,                 1.3374,                0.58915,                 1.5204,              0.0011279,              0.0011279,              0.0011279
                    101,                0.73861,                0.36326,                0.93885,                0.95108,                0.94703,                0.95114,                0.69086,                 1.4649,                0.50894,                 1.6258,              0.0011224,              0.0011224,              0.0011224
                    102,                 0.7264,                0.36348,                0.94378,                0.98156,                0.98758,                0.98697,                0.76428,                 1.2486,                0.46636,                 1.4202,              0.0011169,              0.0011169,              0.0011169
                    103,                0.74447,                0.36249,                0.94398,                0.97939,                0.98386,                0.98845,                0.75887,                 1.3073,                0.47377,                 1.5008,              0.0011114,              0.0011114,              0.0011114
                    104,                0.74243,                0.37599,                0.93839,                0.97227,                0.96615,                0.97523,                0.73485,                 1.3294,                0.50351,                 1.5016,              0.0011059,              0.0011059,              0.0011059
                    105,                0.71078,                 0.3404,                0.93693,                0.98099,                0.96221,                0.98155,                0.73593,                 1.3295,                0.47358,                  1.464,              0.0011004,              0.0011004,              0.0011004
                    106,                0.73031,                0.35576,                0.94266,                0.96968,                0.95916,                0.98008,                0.71956,                 1.3264,                0.48793,                 1.4734,              0.0010949,              0.0010949,              0.0010949
                    107,                0.75117,                0.36336,                0.95151,                0.97935,                0.97448,                0.98364,                0.72833,                 1.3079,                0.47784,                 1.4584,              0.0010894,              0.0010894,              0.0010894
                    108,                0.72358,                0.36078,                0.94025,                0.97491,                0.96804,                0.97988,                0.75713,                  1.219,                0.45617,                 1.3872,              0.0010839,              0.0010839,              0.0010839
                    109,                0.73688,                0.36397,                0.94619,                0.97609,                0.96589,                0.98189,                0.76152,                 1.2559,                 0.4719,                 1.4343,              0.0010784,              0.0010784,              0.0010784
                    110,                  0.711,                 0.3571,                0.93824,                0.96181,                0.94563,                0.97559,                0.76528,                 1.2015,                0.48716,                 1.3398,              0.0010729,              0.0010729,              0.0010729
                    111,                0.71058,                 0.3596,                0.93129,                0.98388,                0.97779,                0.99059,                0.77628,                 1.1506,                0.43905,                 1.2999,              0.0010674,              0.0010674,              0.0010674
                    112,                0.72532,                0.34908,                0.93795,                0.97074,                0.96069,                0.97281,                0.74741,                 1.3006,                0.47715,                 1.5182,              0.0010619,              0.0010619,              0.0010619
                    113,                 0.7234,                0.34811,                0.93938,                0.95978,                0.91944,                0.95064,                0.68417,                 1.3834,                0.54355,                  1.531,              0.0010564,              0.0010564,              0.0010564
                    114,                0.72408,                0.35158,                0.94617,                0.98056,                0.96888,                0.97931,                0.76127,                 1.2628,                0.47168,                   1.46,              0.0010509,              0.0010509,              0.0010509
                    115,                0.72582,                0.35161,                0.93736,                0.98221,                0.97345,                0.98339,                0.75337,                 1.3066,                0.47242,                 1.4715,              0.0010454,              0.0010454,              0.0010454
                    116,                0.70425,                0.35387,                0.93855,                0.96196,                0.93588,                0.96516,                 0.7334,                 1.3295,                0.53517,                  1.555,              0.0010399,              0.0010399,              0.0010399
                    117,                0.73673,                0.36022,                0.94195,                0.97552,                 0.9765,                0.98822,                0.76655,                 1.2449,                0.48811,                 1.4021,              0.0010344,              0.0010344,              0.0010344
                    118,                0.71238,                0.34982,                 0.9309,                0.98457,                0.97732,                0.98355,                0.76643,                 1.2459,                0.43612,                 1.4307,              0.0010289,              0.0010289,              0.0010289
                    119,                0.72867,                0.34836,                0.93542,                0.99226,                 0.9765,                0.98602,                0.75252,                 1.2785,                0.45063,                 1.4806,              0.0010234,              0.0010234,              0.0010234
                    120,                0.70716,                0.34679,                0.93899,                0.98628,                0.98171,                0.98327,                0.75263,                 1.2835,                0.46051,                 1.4717,              0.0010179,              0.0010179,              0.0010179
                    121,                0.72079,                 0.3522,                0.93542,                0.95854,                0.94585,                0.96334,                0.68606,                 1.4348,                0.50131,                 1.5696,              0.0010124,              0.0010124,              0.0010124
                    122,                0.70695,                0.34646,                0.92756,                0.98091,                0.98114,                0.98866,                0.75936,                 1.2569,                0.45468,                 1.4481,              0.0010069,              0.0010069,              0.0010069
                    123,                0.71703,                0.35537,                0.93935,                0.98521,                 0.9765,                0.98896,                 0.7622,                 1.2836,                0.46307,                 1.4971,              0.0010014,              0.0010014,              0.0010014
                    124,                0.71145,                0.34512,                0.93006,                0.98488,                 0.9643,                0.98201,                0.73538,                 1.3138,                0.46738,                 1.5097,             0.00099587,             0.00099587,             0.00099587
                    125,                0.70937,                0.34037,                0.93557,                0.98499,                0.96984,                0.98746,                0.76605,                 1.3018,                0.45619,                 1.4897,             0.00099036,             0.00099036,             0.00099036
                    126,                0.71041,                0.34399,                0.92851,                0.97481,                0.97345,                0.98488,                0.76441,                 1.3245,                  0.444,                 1.5446,             0.00098486,             0.00098486,             0.00098486
                    127,                0.69423,                0.34016,                 0.9233,                0.98379,                0.97552,                 0.9849,                0.75215,                  1.293,                0.44941,                 1.4747,             0.00097936,             0.00097936,             0.00097936
                    128,                0.69864,                0.34575,                0.93556,                0.97647,                 0.9604,                0.97367,                0.74381,                 1.3326,                0.45792,                 1.4872,             0.00097386,             0.00097386,             0.00097386
                    129,                0.68142,                0.33183,                0.92895,                0.97162,                0.96541,                0.97304,                0.72757,                 1.3415,                0.46313,                 1.5303,             0.00096836,             0.00096836,             0.00096836
                    130,                 0.6829,                0.33417,                0.92587,                0.98799,                0.98143,                 0.9894,                0.76991,                 1.2688,                0.44661,                 1.4665,             0.00096286,             0.00096286,             0.00096286
                    131,                0.68765,                0.33633,                 0.9204,                0.97476,                0.96951,                0.97719,                0.77291,                  1.263,                0.44595,                 1.4727,             0.00095736,             0.00095736,             0.00095736
                    132,                0.69747,                0.33747,                0.92749,                 0.9849,                 0.9765,                0.98485,                0.77387,                 1.2446,                0.44558,                 1.4524,             0.00095186,             0.00095186,             0.00095186
